PMDB,1500,HERMES ZANETI,33515
PAN,2699,HERMINIO FARINHA VARGAS FARINHA,917
PSDB,4555,HILTON DE FRANCESCHI,8125
PTB,1409,HILTON VAZ,0
PSDB,4515,IARA GRILLO BITTENCOURT,1793
PDT,1222,IBRAHIM EL AMMAR,31443
PMDB,1511,IBSEN PINHEIRO,76165
PTB,1478,IDEMAR BARZ,16561
PP,1131,IMIDIO GOBBI,3054
PT,1377,IOLE KUNZE,1546
PT,1333,IVAN BRAZ,5333
PSB,4010,IVAN GONÇALVES THEISEN,873
PSDB,4546,JACÓ ZYLBERSZTEJN,1889
PHS,3132,JAIR LAUXEN,1894
PT,1369,JAIR POLETTO LOPES,3666
PL,2255,JAIR RIZZO,18857
PV,4333,JANIO ALBERTO LIMA,931
PCO,2929,JEAN DA SILVA,572
PPS,2303,JOÃO BAPTISTA DE MELLO NETO,1686
PFL,2518,JOÃO BATISTA,809
PPS,2312,JOÃO CARLOS CARVALHO FERREIRA,1953
PSOL,5044,JOÃO CARLOS DA SILVA ROSA,169
PP,1110,JOÃO CARLOS NEDEL,16720
PP,1177,JOÃO CARLOS SALVADOR,2777
PV,4344,JOÃO CARLOS VIEIRA BENJAMIN,6944
PSDB,4508,JOÃO HENRIQUE NARCISO DOS SANTOS,611
PP,1140,JOÃO MANFRÃO,310
PSDB,4599,JOÃO MARIA NOGUEIRA DE MOURA,1819
PT,1399,JOÃO PEDRO FAGUNDES,9544
PMDB,1521,JOÃO PEDRO NUNES,8521
PT,1366,JOÃO RAMIS,15014
PSB,4089,JOÃO TARDETI,9392
PDT,1266,JORGE CABRAL,1203
PP,1113,JORGE MARDINI,1358
PSOL,5099,JORGE NOGUEIRA,198
PSDB,4578,JORGE POZZOBOM,35896
PDT,1217,JOSE AMARO HILGERT,1691
PHS,3122,JOSÉ DARCI DE DEUS,954
PDT,1200,JOSÉ FORTUNATI,31722
PTB,1421,JOSÉ GOMES,715
PDT,1288,JOSÉ OTAVIO FRANCO DORNELLES,1274
PP,1112,JOSÉ OTÁVIO GERMANO(*),195822
PTB,1406,JOSÉ PAULO SABÁ MEYRER,2070
PTB,1450,JUARES BARUFFI,12488
PSOL,5066,JUAREZ PORTO,698
PSB,4041,JULIANO PAZ,4880
PSDB,4511,JULIO REDECKER(*),157745
PHS,3188,LAUREA XAVIER,353
PAN,26,Legenda PAN,630
PC do B,65,Legenda PC do B,3573
PCB,21,Legenda PCB,1979
PCO,29,Legenda PCO,992
PDT,12,Legenda PDT,48224
PFL,25,Legenda PFL,12106
PGT,30,Legenda PGT,0
PHS,31,Legenda PHS,1944
PL,22,Legenda PL,5225
PMDB,15,Legenda PMDB,49966
PMN,33,Legenda PMN,2044
PP,11,Legenda PP,27001
PPS,23,Legenda PPS,13436
PRB,10,Legenda PRB,0
PRONA,56,Legenda PRONA,2340
PRP,44,Legenda PRP,0
PRTB,28,Legenda PRTB,225
PSB,40,Legenda PSB,6409
PSC,20,Legenda PSC,1300
PSD,41,Legenda PSD,0
PSDB,45,Legenda PSDB,68239
PSDC,27,Legenda PSDC,469
PSL,17,Legenda PSL,1651
PSOL,50,Legenda PSOL,16739
PST,18,Legenda PST,0
PSTU,16,Legenda PSTU,2427
PT,13,Legenda PT,118618
PT do B,70,Legenda PT do B,665
PTB,14,Legenda PTB,19198
PTC,36,Legenda PTC,1267
PTN,19,Legenda PTN,0
PV,43,Legenda PV,38817
PSOL,5069,LEILA LOPES,438
PDT,1201,LÉLIO FALCÃO,1832
PTB,1455,LENORA HORN,2469
PRTB,2888,LEONARDO SOARES,154
PT,1320,LEONARDO SZINWELSKI,10971
PSOL,5050,LUCIANA GENRO(*),185071
PP,1157,LUCIANO BARROS,1330
PP,1144,LUIS CARLOS HEINZE(*),205734
PTC,3671,LUIZ CARLOS DOS SANTOS JUSTO,151
PTB,1445,LUIZ CARLOS GHIORZZI BUSATO,44472
PSB,4055,LUIZ FABRIS,2580
PPS,2344,LUIZ FIGUEIREDO,1234
PSDB,4547,LUIZA ESTIVALETE,2403
PSDB,4577,MACHADO,4654
PDT,1216,MAJOR POGGETTI,1764
PV,4343,MANO ROCHA,2168
PTB,1400,MARCELLO CHIODO,732
PT,1390,MARCELO CARLINI,304
PP,1199,MARCELO PATA,9102
PV,4355,MARCIA REGINA WESTERHOWE,437
PT,1314,MARCO MAIA(*),70983
PTB,1436,MARCO SALGADO,2249
PDT,1238,MARCOS VINICIO DE SOUZA WINK,9141
PSDB,4518,MARGARETE MARTINS,1293
PSB,4004,MARI MACHADO,7803
PSOL,5001,MARIA APARECIDA PORTELA PRADO,359
PT,1317,MARIA CONCEIÇÃO,10947
PT,1370,MARIA DO ROSÁRIO(*),110081
PTB,1413,MARIA LUIZA SUAREZ MORAES,7400
PSOL,5012,MARIA NAZARE MELO,564
PSB,4012,MÁRIO BRUCK,13861
PSDB,4533,MARIO MANFRO,2859
PP,1145,MÁRIO RIBAS NASCIMENTO,24289
PFL,2545,MATTEO CHIARELLI,36849
PV,4350,MAURICIO CAMBRAIA SANCHES,499
PPS,2377,MAURÍCIO PIVOTTO,579
PDT,1299,MAURICIO RONI DE SOUZA PEREIRA,5370
PPS,2331,MAURO BRUM,7047
PHS,3111,MAURO NUNES,479
PSC,2020,MAURO PERFEITO DA SILVA,1721
PP,1188,MAXIMILIANO SEVERO TEIXEIRA,1003
PMDB,1510,MENDES RIBEIRO FILHO(*),115245
PV,4300,MIKONGA,2394
PRONA,5656,MOACIR FISCHMANN,14750
PTC,3600,MOACIR GEGLER,515
PDT,1211,MOACIR LEÃO,6644
PMDB,1565,NELSON MORAES,12943
PPS,2300,NELSON PROENÇA(*),53689
PTB,1407,NELSON SOUZA,3926
PP,1100,NEOLANGE CULAU BRANDÃO,3572
PFL,2526,NERY FRANCO,1305
PSB,4090,NESTOR MALTHA,3565
PMDB,1567,NEY NAVARRO,358
PTB,1404,NILO SANTOS,5155
PHS,3144,NÍVEO FRIEDRICH,2219
PMDB,1516,ODACIR KLEIN,56639
PSDB,4563,ODILON SOUZA,3429
PSB,4030,ODINERTO LOEWE,1852
PT,1310,OLIBIO ESTEVÃO NUNES DE FREITAS,4172
PFL,2522,ONYX LORENZONI(*),112764
PT,1344,ORLANDO DESCONSI(*),66103
PSC,2000,OSEAS COSTA,17332
PMDB,1522,OSMAR TERRA(*),101695
PMDB,1580,OSVALDO BIOLCHI(*),58042
PSB,4069,OTÁVIO MAXIMILIANO REICHERT,342
PTB,1466,OVÍDIO DA SILVA MAYER,16883
PSDC,2789,PASTOR ELOI AIRES,692
PTB,1441,PASTOR MILTON CARDIAS(*),14262
PTB,1420,PASTOR REINALDO(*),33930
PV,4363,PATRÍCIA LOSS,1678
PSB,4001,PAULO AMARAL,690
PSDB,4564,PAULO ELISEU,5858
PL,2233,PAULO GOUVÊA(*),7724
PT,1381,PAULO OPPA,2394
PT,1307,PAULO PIMENTA(*),104430
PP,1119,PAULO RICARDO DE SOUZA IDIART,548
PTB,1433,PAULO ROBERTO MANOEL PEREIRA,84123
PTB,1414,PAULO ROGOWSKI,12362
PMDB,1523,PAULO SANTOS,2036
PMDB,1599,PEDRO GODINHO DA SILVA,21854
PT,1301,PEPE VARGAS,124686
PDT,1221,POMPEO DE MATTOS(*),106963
PSDB,4554,PROFESSOR ISMAR PANIGAS,6982
PSDB,4516,PROFESSOR RIBEIRO SERPA,2185
PV,4388,PROFESSORA IDALINA,1021
PSOL,5051,PUBLIO FERRARI,473
PTB,1435,RAFAEL MALLMANN,5811
PMDB,1577,RAFAEL VIEIRA CASTELLO COSTA,10704
PP,1133,RANGEL DE CAMARGO RODRIGUES,2285
PV,4330,RAUL SELVA,0
PPS,2345,REJANE WEBSTER DE CARVALHO,4705
PP,1122,RENATO MOLLING,69959
PSB,4000,RICARDO COUGO,8306
PV,4360,RICARDO HOLMER HODARA,109
PSOL,5017,ROBERTO JUNG,197
PTB,1425,ROBERTO KUPSKI,6915
PMDB,1530,RODRIGO CHIES,2659
PSOL,5080,ROGERIO BENITES,1239
PTB,1423,RONALDO NOGUEIRA DE OLIVEIRA,21558
PTB,1480,RONALDO SANTINI,16425
PT,1331,ROSANE LIPERT,12175
PSDB,4500,RUY PAULETTI,57064
PSOL,5077,SALETE POSSAN NUNES,962
PTB,1412,SÉRGIO MORAES,86229
PT,1303,SILVIO MACHADO,4096
PTB,1444,SOLIMAR CHAROPEN GONÇALVES,15204
PT,1300,TARCISIO ZIMMERMANN(*),106659
PFL,2525,TAVORES FERNANDES DE OLIVEIRA,6605
PTB,1477,VALDAIR GOMES DE ALMEIDA,12732
PMDB,1588,VALDEMIR DE ANDRADE JOBIM,7201
PSB,4070,VALDIR GODÓIS,2895
PSB,4099,VALMOCI JESUS DE SOUZA,357
PSB,4049,VANDERLEI SOUZA,359
PSDB,4557,VERA CALLEGARO,2119
PSB,4050,VICENTE SELISTRE,15473
PDT,1212,VIEIRA DA CUNHA,100057
PV,4335,VILMAR DO PV,120
PSC,2022,VILNEI OLIVEIRA,318
PP,1111,VILSON COVATTI,168320
PDT,1262,VINICIUS RIBEIRO,31215
PHS,3113,WANDIR NUNES DE ALMEIDA,309
PV,4340,WILI,278
PMDB,1533,WILSON CIGNACHI(*),47876
PDT,1233,WOLMAR CASTILHOS,2170
PSB,4046,ZECA DO ARAGUAIA,485
PMDB,1512,ZEILA FRÓES,2168
PV,4307,ZILÁ BOTELHO,732
PSB,4036,ZUCA FLORES,304
